"CALLSIGN"	"FREQUENCY"	"SERVICE"	"CLASS"	"STATUS"	"CITY"	"STATE"	"COUNTRY"	"FILENUM"	"FACID"	"LAT"	"LON"	"LICENSEE"	"LATDD"	"LONDD"	"deleted"
"DK224AN"	"92.7  MHz"	"FX"	"D"	"LIC"	"WALKER"	"MN"	"US"	"BLFT   -19820301IC"	26629	"47-5-41N"	"94-34-36W"	"MINNESOTA CHRISTIAN BROADCASTERS, INC."	47.0947	94.5767	0
"DK225AD"	"92.9  MHz"	"FX"	"D"	"LIC"	"JASPER"	"TX"	"US"	"BLFT   -19960129TC"	65767	"30-58-31N"	"93-59-24W"	"KSBJ EDUCATIONAL FOUNDATION"	30.9753	93.99	0
"DK228BX"	"93.5  MHz"	"FX"	"D"	"LIC"	"CRESTED BUTTE, ETC."	"CO"	"US"	"BLFT   -19850225TC"	27157	"38-53-44N"	"106-57-34W"	"PASSWORD, INC."	38.8956	106.9594	0
"DK228CB"	"93.5  MHz"	"FX"	"D"	"LIC"	"EDMOND"	"OK"	"US"	"BLFT   -19870306TF"	6779	"35-39-39N"	"97-28-15W"	"BRIAN DODGE"	35.6608	97.4708	0
"DK228CG"	"93.5  MHz"	"FX"	"D"	"LIC"	"LAKE CITY, ETC."	"CO"	"US"	"BLFT   -19850716TE"	27159	"37-59-35N"	"107-19-30W"	"PASSWORD, INC"	37.9931	107.325	0
"DK228CP"	"93.5  MHz"	"FX"	"D"	"LIC"	"GARFIELD"	"CO"	"US"	"BLFT   -19860919TA"	27156	"38-29-48N"	"106-19-9W"	"PASSWORD, INC."	38.4967	106.3192	0
"DK231AL"	"94.1  MHz"	"FX"	"D"	"LIC"	"TYLER"	"TX"	"US"	"BLFT   -20040628AAW"	87437	"32-19-21N"	"95-14-8W"	"PAULINO BERNAL EVANGELISM"	32.3225	95.2356	0
"DK233AB"	"94.5  MHz"	"FX"	"D"	"LIC"	"SACRAMENTO"	"CA"	"US"	"BLFT   -19940831TB"	63460	"38-32-36N"	"121-25-41W"	"YOUR CHRISTIAN COMPANION NETWORK, INC."	38.5433	121.4281	0
"DK240AJ"	"95.9  MHz"	"FX"	"D"	"LIC"	"DOUGLAS CREEK"	"CO"	"US"	"BLFT   -19840206MR"	56409	"39-36-44N"	"108-46-11W"	"RIO BLANCO COUNTY TV ASSOCIATION"	39.6122	108.7697	0
"DK240BC"	"95.9  MHz"	"FX"	"D"	"LIC"	"LITTLE FALLS"	"MN"	"US"	"BLFT   -19840820MJ"	26630	"45-59-28N"	"94-20-28W"	"MINNESOTA CHRISTIAN BROADCASTERS, INC."	45.9911	94.3411	0
"DK242AL"	"96.3  MHz"	"FX"	"D"	"LIC"	"HAYS"	"KS"	"US"	"BLFT   -19960429TD"	33371	"38-56-29N"	"99-21-22W"	"KANZA SOCIETY, INC."	38.9414	99.3561	0
"DK243AE"	"96.5  MHz"	"FX"	"D"	"LIC"	"TYLER"	"TX"	"US"	"BLFT   -19950410TC"	48956	"32-20-33N"	"95-15-29W"	"CAPSTAR TX LIMITED PARTNERSHIP"	32.3425	95.2581	0
"DK244DO"	"96.7  MHz"	"FX"	"D"	"LIC"	"ALAMOSA, ETC."	"CO"	"US"	"BLFT   -19931122TK"	58907	"36-51-34N"	"106-1-7W"	"SAN LUIS VALLEY TELEVISION, INC."	36.8594	106.0186	0
"DK246BF"	"97.1  MHz"	"FX"	"D"	"LIC"	"SAN LUIS OBISPO"	"CA"	"US"	"BLFT   -20070108AAC"	146730	"35-15-11N"	"120-45-42W"	"HORIZON CHRISTIAN FELLOWSHIP"	35.2531	120.7617	0
"DK248AN"	"97.5  MHz"	"FX"	"D"	"LIC"	"NEWCASTLE"	"OK"	"US"	"BLFT   -20000508AAX"	82708	"35-11-28N"	"97-35-49W"	"LATINO CULTURAL DEVELOPMENT, INC."	35.1911	97.5969	0
"DK249AI"	"97.7  MHz"	"FX"	"D"	"LIC"	"LEMMON"	"SD"	"US"	"BLFT   -182"	9661	"45-56-32N"	"102-10-19W"	"CD BROADCASTING CORPORATION OF STURGIS"	45.9422	102.1719	0
"DK249AK"	"97.7  MHz"	"FX"	"D"	"LIC"	"PHILIP"	"SD"	"US"	"BLFT   -186"	9655	"44-3-17N"	"101-39-52W"	"CD BROADCASTING CORPORATION OF STURGIS"	44.0547	101.6644	0
"DK249AN"	"97.7  MHz"	"FX"	"D"	"LIC"	"BISON"	"SD"	"US"	"BLFT   -19800131ID"	9658	"45-31-4N"	"102-27-28W"	"CD BROADCASTING CORPORATION OF STURGIS"	45.5178	102.4578	0
"DK249CB"	"97.7  MHz"	"FX"	"D"	"LIC"	"ABERDEEN"	"SD"	"US"	"BLFT   -19851206TB"	9662	"45-27-50N"	"98-29-17W"	"KKAA/KQAA L.L.C."	45.4639	98.4881	0
"DK249CX"	"97.7  MHz"	"FX"	"D"	"LIC"	"REDFIELD"	"SD"	"US"	"BLFT   -19890123TO"	72918	"44-52-40N"	"98-31-35W"	"CHRISTIAN HERITAGE BROADCASTING, INC."	44.8778	98.5264	0
"DK252BK"	"98.3  MHz"	"FX"	"D"	"LIC"	"WADENA, ETC."	"MN"	"US"	"BLFT   -19880419TD"	26633	"46-26-33N"	"95-8-5W"	"MINNESOTA CHRISTIAN BROADCASTERS, INC."	46.4425	95.1347	0
"DK252CT"	"98.3  MHz"	"FX"	"D"	"LIC"	"COALDALE"	"CO"	"US"	"BLFT   -19871026TE"	12132	"38-20-22N"	"104-43-55W"	"COALDALE TV CLUB"	38.3394	104.7319	0
"DK255AF"	"98.9  MHz"	"FX"	"D"	"LIC"	"CRESTED BUTTE"	"CO"	"US"	"BLFT   -19940718TB"	30588	"38-53-9N"	"106-57-38W"	"JAY J. O'NEAL"	38.8858	106.9606	0
"DK257DR"	"99.3  MHz"	"FX"	"D"	"LIC"	"BURLINGTON"	"IA"	"US"	"BLFT   -19990303TA"	87428	"40-52-22N"	"91-10-26W"	"FREEDOM QUEST PROMOTIONS"	40.8728	91.1739	0
"DK260AB"	"99.9  MHz"	"FX"	"D"	"LIC"	"LOCKHART"	"TX"	"US"	"BLFT   -19930308TB"	24175	"29-57-2N"	"97-40-19W"	"GILBERT GARCIA"	29.9506	97.6719	0
"DK265AL"	"100.9 MHz"	"FX"	"D"	"LIC"	"TAHOE CITY"	"CA"	"US"	"BLFT   -19790927IE"	2095	"39-11-14N"	"120-5-54W"	"AMERICOM"	39.1872	120.0983	0
"DK269EH"	"101.7 MHz"	"FX"	"D"	"LIC"	"WEST PLAINS"	"MO"	"US"	"BLFT   -19940930TB"	61518	"36-45-0N"	"91-49-40W"	"BOARD OF GOVERNORS OF MISSOURI STATE UNIVERSITY"	36.75	91.8278	0
"DK272AO"	"102.3 MHz"	"FX"	"D"	"LIC"	"BIG LAKE"	"TX"	"US"	"BLFT   -19790125IA"	22155	"31-11-53N"	"101-28-0W"	"FOSTER COMMUNICATIONS CO., INC."	31.1981	101.4667	0
"DK272CF"	"102.3 MHz"	"FX"	"D"	"LIC"	"ENID"	"OK"	"US"	"BLFT   -19860117TA"	6774	"36-23-48N"	"97-52-41W"	"BRIAN DODGE"	36.3967	97.8781	0
"DK272CJ"	"102.3 MHz"	"FX"	"D"	"LIC"	"FORT PIERRE"	"SD"	"US"	"BLFT   -19960703TC"	52566	"44-22-18N"	"100-24-28W"	"PIERRE CHRISTIAN RADIO, INC"	44.3717	100.4078	0
"DK272CR"	"102.3 MHz"	"FX"	"D"	"LIC"	"NEW YORK MILLS"	"MN"	"US"	"BLFT   -19870703TA"	74	"46-31-2N"	"95-22-28W"	"RESULT RADIO, INC."	46.5172	95.3744	0
"DK276DP"	"103.1 MHz"	"FX"	"D"	"LIC"	"MILLCREEK"	"UT"	"US"	"BLFT   -19970113TG"	21609	"40-48-29N"	"111-53-22W"	"FIRST NATIONAL B/CING CORPORATION"	40.8081	111.8894	0
"DK280AP"	"103.9 MHz"	"FX"	"D"	"LIC"	"OMAK, ETC."	"WA"	"US"	"BLFT   -233"	11131	"48-27-15N"	"119-18-30W"	"CHRISTIANS - IN - ACTION"	48.4542	119.3083	0
"DK285EV"	"104.9 MHz"	"FX"	"D"	"LIC"	"DILLINGHAM"	"AK"	"US"	"BLFT   -19981123TJ"	86875	"59-2-43N"	"158-27-7W"	"JOHN C. MARX"	59.0453	158.4519	0
"DK286AB"	"105.1 MHz"	"FX"	"D"	"LIC"	"RUSHVILLE, ETC."	"NE"	"US"	"BLFT   -19930331TB"	10979	"42-43-49N"	"102-24-8W"	"CHRISTIAN COMMUNITY CENTER"	42.7303	102.4022	0
"DK288DP"	"105.5 MHz"	"FX"	"D"	"LIC"	"MURRAY BUTTE, ETC."	"SD"	"US"	"BLFT   -19870219TC"	52565	"44-10-18N"	"101-8-50W"	"PIERRE CHRISTIAN RADIO"	44.1717	101.1472	0
"DK288EN"	"105.5 MHz"	"FX"	"D"	"LIC"	"LEWISTOWN"	"MT"	"US"	"BLFT   -19931028TE"	37195	"47-3-15N"	"109-26-0W"	"HI-LINE RADIO FELLOWSHIP, INC."	47.0542	109.4333	0
"DK288ER"	"105.5 MHz"	"FX"	"D"	"LIC"	"ALEXANDRIA"	"LA"	"US"	"BLFT   -19951207TK"	5178	"31-16-4N"	"92-26-24W"	"BIBLE BROADCASTING NETWORK, INC."	31.2678	92.44	0
"DK294AQ"	"106.7 MHz"	"FX"	"D"	"LIC"	"MARSHALL"	"MN"	"US"	"BLFT   -19950810TA"	72911	"44-24-37N"	"95-51-43W"	"WINDSENT, INC."	44.4103	95.8619	0
"DK295AB"	"106.9 MHz"	"FX"	"D"	"LIC"	"HOPE"	"AR"	"US"	"BLFT   -19921207TE"	37793	"33-40-38N"	"93-33-38W"	"BOARD OF TRUSTEES OF THE UNIVERSITY OF ARKANSAS"	33.6772	93.5606	0
"DK296DX"	"107.1 MHz"	"FX"	"D"	"LIC"	"PERHAM"	"MN"	"US"	"BLFT   -19871026TD"	75	"46-35-9N"	"95-34-45W"	"RESULT RADIO, INC."	46.5858	95.5792	0
"DK297AF"	"107.3 MHz"	"FX"	"D"	"LIC"	"RED WING"	"MN"	"US"	"BLFT   -19960528TE"	35528	"44-33-19N"	"92-32-6W"	"KRCH OF MINNESOTA, INC."	44.5553	92.535	0
"DKAMP-LP"	"92.9  MHz"	"FL"	"L1"	"LIC"	"ST. MICHAEL"	"AK"	"US"	"BLL    -20020925ACW"	124752	"63-28-41N"	"162-2-17W"	"ANTHONY A. ANDREWS SCHOOL"	63.4781	162.0381	0
"DKCVE-LP"	"92.3  MHz"	"FL"	"L1"	"LIC"	"VENTURA"	"CA"	"US"	"BLL    -20041118AAH"	124373	"34-16-45N"	"119-17-44W"	"CALVARY CHAPEL OF VENTURA"	34.2792	119.2956	0
"DKEPO"	"92.9  MHz"	"FM"	"D"	"LIC"	"EAGLE POINT"	"OR"	"US"	"BLED   -19970611KC"	59348	"42-28-21N"	"122-47-48W"	"EAGLE POINT HIGH SCHOOL DISTRICT 9"	42.4725	122.7967	0
"DKFCA-LP"	"104.5 MHz"	"FL"	"L1"	"LIC"	"FRESNO"	"CA"	"US"	"BLL    -20021016ABT"	124490	"36-37-13N"	"119-41-59W"	"HMONG AMERICAN COMMUNITY, INC."	36.6203	119.6997	0
"DKKJW"	"105.9 MHz"	"FM"	"C2"	"LIC"	"STANTON"	"TX"	"US"	"BLH    -19970715KD"	76095	"31-51-9N"	"101-48-19W"	"UNIQUE BROADCASTING, L.L.C."	31.8525	101.8053	0
"DKPHL"	"90.5  MHz"	"FM"	"A"	"LIC"	"PAHALA"	"HI"	"US"	"BLED   -20060124ACP"	91242	"19-6-2N"	"155-34-9W"	"VINEYARD CHRISTIAN FELLOWSHIP OF HONOLULU, INC."	19.1006	155.5692	0
"DKWRS"	"90.3  MHz"	"FM"	"D"	"LIC"	"SPOKANE"	"WA"	"US"	"BLED   -1704"	72295	"47-45-30N"	"117-25-0W"	"WHITWORTH COLLEGE"	47.7583	117.4167	0
"DKZPO"	"103.3 MHz"	"FM"	"B1"	"LIC"	"LINDSAY"	"CA"	"US"	"BLH    -19980206KB"	37725	"36-17-14N"	"118-50-17W"	"ESTATE OF LINDA WARE, CYNTHIA RAMAGE, EXECUTOR"	36.2872	118.8381	0
"DW201AS"	"88.1  MHz"	"FX"	"D"	"LIC"	"LORETTO"	"TN"	"US"	"BLFT   -19940725TG"	58433	"35-5-15N"	"87-25-43W"	"WAY-FM MEDIA GROUP, INC."	35.0875	87.4286	0
"DW202AQ"	"88.3  MHz"	"FX"	"D"	"LIC"	"VANDALIA"	"IL"	"US"	"BLFT   -19920319TA"	28287	"38-56-33N"	"89-6-12W"	"ILLINOIS BIBLE INSTITUTE"	38.9425	89.1033	0
"DW202AV"	"88.3  MHz"	"FX"	"D"	"LIC"	"WHITE HALL"	"IL"	"US"	"BLFT   -19951130TH"	43705	"39-28-47N"	"90-22-36W"	"THE MOODY BIBLE INSTITUTE OF CHICAGO"	39.4797	90.3767	0
"DW203AA"	"88.5  MHz"	"FX"	"D"	"LIC"	"BERLIN, ETC."	"OH"	"US"	"BLFT   -19920529TB"	11089	"40-33-1N"	"81-56-41W"	"CHRISTIAN RADIO OUTREACH, INC."	40.5503	81.9447	0
"DW205AQ"	"88.9  MHz"	"FX"	"D"	"LIC"	"STARKVILLE"	"MS"	"US"	"BLFT   -19940224TH"	1579	"33-27-47N"	"88-49-1W"	"AMERICAN FAMILY ASSOCIATION"	33.4631	88.8169	0
"DW209AT"	"89.7  MHz"	"FX"	"D"	"LIC"	"HOHENWALD"	"TN"	"US"	"BLFT   -19951103TA"	1711	"35-33-56N"	"87-33-27W"	"AMERICAN FAMILY ASSOCIATION"	35.5656	87.5575	0
"DW211AS"	"90.1  MHz"	"FX"	"D"	"LIC"	"SPENCER"	"TN"	"US"	"BLFT   -19980914TB"	83066	"35-44-3N"	"85-27-33W"	"AMERICAN FAMILY ASSOCIATION"	35.7342	85.4592	0
"DW216AR"	"91.1  MHz"	"FX"	"D"	"LIC"	"NATCHEZ"	"MS"	"US"	"BLFT   -19930513TC"	1577	"31-33-57N"	"91-22-59W"	"AMERICAN FAMILY ASSOCIATION"	31.5658	91.3831	0
"DW221AF"	"92.1  MHz"	"FX"	"D"	"LIC"	"ARCHBOLD"	"OH"	"US"	"BLFT   -19850802TA"	2656	"41-30-57N"	"84-18-15W"	"ARCHBOLD EVANGELICAL MENNONITE CHURCH"	41.5158	84.3042	0
"DW224BW"	"92.7  MHz"	"FX"	"D"	"LIC"	"KEY LARGO"	"FL"	"US"	"BLFT   -20090604ABQ"	139051	"25-6-54.5N"	"80-25-14.9W"	"BROADCAST TOWERS, INC."	25.1151	80.4208	0
"DW269AB"	"101.7 MHz"	"FX"	"D"	"LIC"	"BABBITT"	"MN"	"US"	"BLFT   -267"	63349	"47-42-46N"	"91-56-36W"	"CITY OF BABBITT"	47.7128	91.9433	0
"DW269AG"	"101.7 MHz"	"FX"	"D"	"LIC"	"VIRGINIA"	"MN"	"US"	"BLFT   -19811228IF"	55234	"47-29-18N"	"92-31-12W"	"RAY E. KENT"	47.4883	92.52	0
"DW272AC"	"102.3 MHz"	"FX"	"D"	"LIC"	"BLACK RIVER FALLS"	"WI"	"US"	"BLFT   -19800410IA"	59856	"44-18-0N"	"90-54-0W"	"SHALOM TRANSLATORS, INC."	44.3	90.9	0
"DW276BX"	"103.1 MHz"	"FX"	"D"	"LIC"	"POMPTON LAKES"	"NJ"	"US"	"BLFT   -20071130ADA"	143128	"41-0-41N"	"74-18-4W"	"NEW JERSEY PUBLIC BROADCASTING AUTHORITY"	41.0114	74.3011	0
"DW284AJ"	"104.7 MHz"	"FX"	"D"	"LIC"	"SUMMERVILLE"	"GA"	"US"	"BLFT   -19970707TG"	84387	"34-28-10N"	"85-17-48W"	"WCCV"	34.4694	85.2967	0
"DW285AJ"	"104.9 MHz"	"FX"	"D"	"LIC"	"MONTGOMERY"	"AL"	"US"	"BLFT   -19881114TH"	33504	"32-22-0N"	"86-17-9W"	"KATHERINE TIMMERMAN HAGLER"	32.3667	86.2858	0
"DW291AE"	"106.1 MHz"	"FX"	"D"	"LIC"	"NORFOLK"	"VA"	"US"	"BLFT   -19951027TD"	60478	"36-50-35N"	"76-17-20W"	"SINCLAIR TELECABLE, INC"	36.8431	76.2889	0
"DW292AC"	"106.3 MHz"	"FX"	"D"	"LIC"	"ADRIAN"	"MI"	"US"	"BLFT   -131"	67622	"41-53-17N"	"84-3-58W"	"TRENTON HILLS UNITED BRETHERN CHURCH"	41.8881	84.0661	0
"DW293AG"	"106.5 MHz"	"FX"	"D"	"LIC"	"TROUT LAKE"	"MI"	"US"	"BLFT   -19960926TI"	77663	"46-11-18N"	"84-56-46W"	"GOSPEL OPPORTUNITIES, INC."	46.1883	84.9461	0
"DW296AI"	"107.1 MHz"	"FX"	"D"	"LIC"	"MONTGOMERY"	"AL"	"US"	"BLFT   -19970204TA"	33501	"32-22-0N"	"86-17-9W"	"KATHERINE TIMMERMAN HAGLER"	32.3667	86.2858	0
"DWBHI"	"90.7  MHz"	"FM"	"D"	"LIC"	"CHICAGO"	"IL"	"US"	"BLED   -19860207KG"	6265	"41-44-55N"	"87-43-13W"	"BOGAN HIGH SCHOOL"	41.7486	87.7203	0
"DWGEV"	"88.3  MHz"	"FM"	"D"	"LIC"	"BEAVER FALLS"	"PA"	"US"	"BLED   -504"	23619	"40-46-21N"	"80-18-33W"	"GENEVA COLLEGE"	40.7725	80.3092	0
"DWHYC"	"88.5  MHz"	"FM"	"A"	"LIC"	"SWAN QUARTER"	"NC"	"US"	"BLED   -19980527KD"	28177	"35-26-27N"	"76-13-19W"	"HYDE COUNTY BOARD OF EDUCATION"	35.4408	76.2219	0
"DWITX"	"90.9  MHz"	"FM"	"A"	"LIC"	"BEAVER FALLS"	"PA"	"US"	"BLED   -19860630KC"	4479	"40-47-5N"	"80-20-36W"	"BEAVER FALLS EDUCATIONAL BROADCASTING FOUNDATION"	40.7847	80.3433	0
"DWWJL-LP"	"95.9  MHz"	"FL"	"L1"	"LIC"	"BROOKVILLE"	"PA"	"US"	"BLL    -20041203AFC"	134565	"41-9-2N"	"79-3-0W"	"FIRST BAPTIST CHURCH"	41.1506	79.05	0
"K200AA"	"87.9  MHz"	"FX"	"D"	"LIC"	"SUN VALLEY"	"NV"	"US"	"BLFT   -20060830AAE"	83363	"39-35-2N"	"119-47-55W"	"CALVARY CHAPEL OF TWIN FALLS, INC."	39.5839	119.7986	0
"K201AA"	"88.1  MHz"	"FX"	"D"	"LIC"	"BOLIVAR"	"MO"	"US"	"BLFT   -19901016TF"	36253	"37-35-31N"	"93-22-53W"	"LAKE AREA EDUCATIONAL BROADCASTING FOUNDATION"	37.5919	93.3814	0
"K201AB"	"88.1  MHz"	"FX"	"D"	"LIC"	"WEST SEATTLE, ETC."	"WA"	"US"	"BLFT   -20040109ABZ"	51202	"47-28-50N"	"122-31-58W"	"PACIFIC LUTHERAN UNIVERSITY, INC."	47.4806	122.5328	0
"K201AD"	"88.1  MHz"	"FX"	"D"	"LIC"	"CHINA LAKE, ETC."	"CA"	"US"	"BLFT   -19810105IA"	28593	"35-28-48N"	"117-40-59W"	"INDIAN WELLS VALLEY TV BOOSTER, INC."	35.48	117.6831	0
"K201AE"	"88.1  MHz"	"FX"	"D"	"LIC"	"COALVILLE, ETC."	"UT"	"US"	"BLFT   -20030513ACN"	13479	"40-51-18N"	"111-28-44W"	"COMMUNITY WIRELESS OF PARK CITY, INC"	40.855	111.4789	0
"K201AG"	"88.1  MHz"	"FX"	"D"	"LIC"	"NUIQSUT"	"AK"	"US"	"BLFT   -20020312AAE"	60379	"70-12-51N"	"150-59-15W"	"SILAKKUAGVIK COMMUNICATIONS, INC."	70.2142	150.9875	0
"K201AH"	"88.1  MHz"	"FX"	"D"	"LIC"	"KAKTOVIK"	"AK"	"US"	"BLFT   -19900912TA"	60378	"70-7-36N"	"143-37-8W"	"SILAKKUAGVIK COMMUNICATIONS, INC."	70.1267	143.6189	0
"K201AJ"	"88.1  MHz"	"FX"	"D"	"LIC"	"SOUTH LAKE TAHOE, ET"	"CA"	"US"	"BLFT   -19990427UA"	8353	"38-57-35N"	"119-56-20W"	"CALIFORNIA STATE UNIVERSITY, SACRAMENTO"	38.9597	119.9389	0
"K201AL"	"88.1  MHz"	"FX"	"D"	"LIC"	"PORT PROTECTION"	"AK"	"US"	"BLFT   -19930224TG"	47412	"56-19-16N"	"133-1-39W"	"NARROWS BROADCASTING CORPORATION"	56.3211	133.0275	0
"K201AM"	"88.1  MHz"	"FX"	"D"	"LIC"	"GUSTAVUS"	"AK"	"US"	"BLFT   -19870225TC"	8654	"58-25-4N"	"135-42-30W"	"CAPITAL COMMUNITY BROADCASTING, INC."	58.4178	135.7083	0
"K201AO"	"88.1  MHz"	"FX"	"D"	"LIC"	"SEWARD"	"AK"	"US"	"BLFT   -19851217TA"	53867	"60-6-12N"	"149-26-12W"	"PUFFIN PUBLIC BROADCASTING, INC."	60.1033	149.4367	0
"K201AP"	"88.1  MHz"	"FX"	"D"	"LIC"	"BELLE FOURCHE"	"SD"	"US"	"BLFT   -19860625TN"	62384	"44-39-24N"	"103-50-49W"	"STATE BOARD OF DIRECTORS FOR ED TV"	44.6567	103.8469	0
"K201AQ"	"88.1  MHz"	"FX"	"D"	"LIC"	"HOT SPRINGS"	"SD"	"US"	"BLFT   -19860129TB"	62386	"43-26-34N"	"103-27-27W"	"STATE BOARD OF DIRECTORS FOR ED TV"	43.4428	103.4575	0
"K201AR"	"88.1  MHz"	"FX"	"D"	"LIC"	"BANNING"	"CA"	"US"	"BLFT   -19861110TB"	35599	"33-54-29N"	"116-59-45W"	"GOOD NEWS RADIO"	33.9081	116.9958	0
"K201AS"	"88.1  MHz"	"FX"	"D"	"LIC"	"YAKIMA"	"WA"	"US"	"BLFT   -19920131TB"	71667	"46-31-1N"	"120-24-2W"	"WEST VALLEY TRANSLATOR ASSOCIATION"	46.5169	120.4006	0
"K201AV"	"88.1  MHz"	"FX"	"D"	"LIC"	"POINT LAY"	"AK"	"US"	"BLFT   -19901029TE"	60380	"69-43-48N"	"163-0-48W"	"SILAKKUAGVIK COMMUNICATIONS, INC."	69.73	163.0133	0
